caseId,receivedDate,caseStatus
YSC1790000128,09/29/2016,Case Was Received
YSC1790000129,09/29/2016,Case Was Received
YSC1790000130,09/29/2016,Case Was Received
YSC1790000131,09/29/2016,Case Was Received
YSC1790000132,09/29/2016,Case Was Received
YSC1790000133,09/29/2016,Case Was Received
YSC1790000134,09/29/2016,Case Was Received
YSC1790000135,11/30/2016,New Card Is Being Produced
YSC1790000136,11/22/2016,Card Was Mailed To Me
YSC1790000137,12/01/2016,New Card Is Being Produced
YSC1790000138,11/22/2016,Card Was Mailed To Me
YSC1790000139,12/02/2016,New Card Is Being Produced
YSC1790000140,09/29/2016,Case Was Received
YSC1790000141,11/21/2016,Card Was Mailed To Me
YSC1790000142,09/29/2016,Case Was Received
YSC1790000143,11/25/2016,Card Was Delivered To Me By The Post Office
YSC1790000144,11/23/2016,Card Was Mailed To Me
YSC1790000145,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000146,11/21/2016,Card Was Mailed To Me
YSC1790000147,11/21/2016,Card Was Mailed To Me
YSC1790000148,12/02/2016,Card Was Delivered To Me By The Post Office
YSC1790000149,11/22/2016,Card Was Mailed To Me
YSC1790000150,11/21/2016,Card Was Mailed To Me
YSC1790000151,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000152,11/14/2016,Card Was Mailed To Me
YSC1790000153,11/14/2016,Card Was Mailed To Me
YSC1790000154,09/30/2016,Case Was Received
YSC1790000155,09/30/2016,Case Was Received
YSC1790000156,09/30/2016,Case Was Received
YSC1790000157,09/30/2016,Case Was Received
YSC1790000158,09/30/2016,Case Was Received
YSC1790000159,09/30/2016,Case Was Received
YSC1790000160,11/14/2016,Card Was Mailed To Me
YSC1790000161,11/21/2016,Card Was Mailed To Me
YSC1790000162,11/21/2016,Card Was Mailed To Me
YSC1790000163,12/01/2016,New Card Is Being Produced
YSC1790000164,11/23/2016,Card Was Mailed To Me
YSC1790000165,11/21/2016,Card Was Mailed To Me
YSC1790000166,11/22/2016,Card Was Mailed To Me
YSC1790000167,11/21/2016,Card Was Mailed To Me
YSC1790000168,11/23/2016,Card Was Mailed To Me
YSC1790000169,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000170,11/21/2016,Card Was Mailed To Me
YSC1790000171,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000172,11/22/2016,Card Was Mailed To Me
YSC1790000173,11/21/2016,Card Was Mailed To Me
YSC1790000174,11/21/2016,Card Was Mailed To Me
YSC1790000175,11/10/2016,Card Was Mailed To Me
YSC1790000176,11/21/2016,Card Was Mailed To Me
YSC1790000177,11/21/2016,Card Was Mailed To Me
YSC1790000178,11/22/2016,Card Was Mailed To Me
YSC1790000179,12/02/2016,New Card Is Being Produced
YSC1790000180,11/22/2016,Card Was Mailed To Me
YSC1790000181,11/21/2016,Card Was Mailed To Me
YSC1790000182,09/29/2016,Case Was Received
YSC1790000183,12/01/2016,New Card Is Being Produced
YSC1790000184,12/02/2016,Card Was Picked Up By The United States Postal Service
YSC1790000185,09/29/2016,Case Was Received
YSC1790000186,12/01/2016,New Card Is Being Produced
YSC1790000187,11/21/2016,Card Was Mailed To Me
YSC1790000188,11/22/2016,Card Was Mailed To Me
YSC1790000189,11/10/2016,Card Was Mailed To Me
YSC1790000190,11/30/2016,Card Was Delivered To Me By The Post Office
YSC1790000191,12/02/2016,New Card Is Being Produced
YSC1790000192,11/21/2016,Card Was Mailed To Me
YSC1790000193,09/29/2016,Case Was Received
YSC1790000194,11/21/2016,Card Was Mailed To Me
YSC1790000195,11/21/2016,Card Was Mailed To Me
YSC1790000196,11/21/2016,Card Was Mailed To Me
YSC1790000197,11/21/2016,Card Was Mailed To Me
YSC1790000198,11/21/2016,Card Was Mailed To Me
YSC1790000199,11/21/2016,Card Was Mailed To Me
YSC1790000200,11/14/2016,Card Was Mailed To Me
YSC1790000201,09/29/2016,Case Was Received
YSC1790000202,11/22/2016,Card Was Mailed To Me
YSC1790000203,09/29/2016,Case Was Received
YSC1790000204,12/02/2016,Card Was Mailed To Me
YSC1790000205,11/21/2016,Card Was Mailed To Me
YSC1790000206,11/28/2016,Card Was Mailed To Me
YSC1790000207,11/22/2016,Card Was Mailed To Me
YSC1790000208,09/29/2016,Case Was Received
YSC1790000209,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000210,11/21/2016,Card Was Mailed To Me
YSC1790000211,11/21/2016,Card Was Mailed To Me
YSC1790000212,11/29/2016,Card Was Delivered To Me By The Post Office
YSC1790000213,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000214,11/21/2016,Card Was Mailed To Me
YSC1790000215,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000216,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000217,11/21/2016,Card Was Mailed To Me
YSC1790000218,11/21/2016,Card Was Mailed To Me
YSC1790000219,11/10/2016,Card Was Mailed To Me
YSC1790000220,11/28/2016,Card Was Delivered To Me By The Post Office
YSC1790000221,11/21/2016,Card Was Mailed To Me
YSC1790000222,11/23/2016,Card Was Mailed To Me
YSC1790000223,11/14/2016,Card Was Mailed To Me
YSC1790000224,11/22/2016,Card Was Mailed To Me
YSC1790000225,12/01/2016,Request for Initial Evidence Was Mailed
YSC1790000226,11/21/2016,Card Was Mailed To Me
YSC1790000227,09/29/2016,Case Was Received
YSC1790000228,11/22/2016,Card Was Mailed To Me
YSC1790000229,11/22/2016,Card Was Mailed To Me
YSC1790000230,11/22/2016,Card Was Mailed To Me
YSC1790000231,12/01/2016,New Card Is Being Produced
YSC1790000232,11/22/2016,Card Was Mailed To Me
YSC1790000233,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000234,11/22/2016,Card Was Mailed To Me
YSC1790000235,12/02/2016,New Card Is Being Produced
YSC1790000236,11/22/2016,Card Was Mailed To Me
YSC1790000237,11/14/2016,Card Was Mailed To Me
YSC1790000238,11/22/2016,Card Was Mailed To Me
YSC1790000239,11/10/2016,Card Was Mailed To Me
YSC1790000240,11/22/2016,Card Was Mailed To Me
YSC1790000241,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000242,11/25/2016,Card Was Mailed To Me
YSC1790000243,11/23/2016,Card Was Delivered To Me By The Post Office
YSC1790000244,11/25/2016,Card Was Delivered To Me By The Post Office
YSC1790000245,11/14/2016,Card Was Mailed To Me
YSC1790000246,11/21/2016,Card Was Mailed To Me
YSC1790000247,09/29/2016,Case Was Received
YSC1790000248,09/29/2016,Case Was Received
YSC1790000249,09/29/2016,Case Was Received
YSC1790000250,09/29/2016,Case Was Received
YSC1790000251,09/29/2016,Case Was Received
YSC1790000252,09/29/2016,Case Was Received
YSC1790000253,09/29/2016,Case Was Received
YSC1790000254,09/29/2016,Case Was Received
YSC1790000255,11/21/2016,Card Was Mailed To Me
YSC1790000256,11/22/2016,Card Was Mailed To Me
YSC1790000257,11/22/2016,Card Was Mailed To Me
YSC1790000258,11/14/2016,Card Was Mailed To Me
YSC1790000259,11/21/2016,Card Was Mailed To Me
YSC1790000260,12/01/2016,New Card Is Being Produced
YSC1790000261,11/22/2016,Card Was Mailed To Me
YSC1790000262,09/29/2016,Case Was Received
YSC1790000263,11/21/2016,Card Was Mailed To Me
YSC1790000264,09/29/2016,Case Was Received
YSC1790000265,09/29/2016,Case Was Received
YSC1790000266,09/29/2016,Case Was Received
YSC1790000267,09/29/2016,Case Was Received
YSC1790000268,09/29/2016,Case Was Received
YSC1790000269,09/29/2016,Case Was Received
YSC1790000270,09/29/2016,Case Was Received
YSC1790000271,09/29/2016,Case Was Received
YSC1790000272,09/29/2016,Case Was Received
YSC1790000273,09/29/2016,Case Was Received
YSC1790000274,09/29/2016,Case Was Received
YSC1790000275,09/29/2016,Case Was Received
YSC1790000276,09/29/2016,Case Was Received
YSC1790000277,09/29/2016,Case Was Received
YSC1790000278,09/29/2016,Case Was Received
YSC1790000279,09/29/2016,Case Was Received
YSC1790000280,09/29/2016,Case Was Received
YSC1790000281,09/30/2016,Case Was Received
YSC1790000282,09/30/2016,Case Was Received
YSC1790000283,09/30/2016,Case Was Received
YSC1790000284,09/30/2016,Case Was Received
YSC1790000285,09/30/2016,Case Was Received
YSC1790000286,09/30/2016,Case Was Received
YSC1790000287,09/30/2016,Case Was Received
YSC1790000288,09/30/2016,Case Was Received
YSC1790000289,09/30/2016,Case Was Received
YSC1790000290,09/30/2016,Case Was Received
YSC1790000291,09/30/2016,Case Was Received
YSC1790000292,09/30/2016,Case Was Received
YSC1790000293,09/30/2016,Case Was Received
YSC1790000294,09/30/2016,Case Was Received
YSC1790000295,09/30/2016,Case Was Received
YSC1790000296,09/30/2016,Case Was Received
YSC1790000297,09/30/2016,Case Was Received
YSC1790000298,11/14/2016,Card Was Mailed To Me
YSC1790000299,12/02/2016,New Card Is Being Produced
YSC1790000300,11/14/2016,Card Was Mailed To Me
YSC1790000301,11/22/2016,Card Was Mailed To Me
YSC1790000302,11/30/2016,Card Was Delivered To Me By The Post Office
YSC1790000303,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000304,11/21/2016,Card Was Mailed To Me
YSC1790000305,11/21/2016,Card Was Mailed To Me
YSC1790000306,11/21/2016,Card Was Mailed To Me
YSC1790000307,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000308,11/22/2016,Card Was Mailed To Me
YSC1790000309,11/18/2016,Card Was Delivered To Me By The Post Office
YSC1790000310,09/29/2016,Case Was Received
YSC1790000311,09/29/2016,Case Was Received
YSC1790000312,09/29/2016,Case Was Received
YSC1790000313,09/29/2016,Case Was Received
YSC1790000314,09/30/2016,Case Was Received
YSC1790000315,09/30/2016,Case Was Received
YSC1790000316,09/30/2016,Case Was Received
YSC1790000317,09/30/2016,Case Was Received
YSC1790000318,09/30/2016,Case Was Received
YSC1790000319,09/30/2016,Case Was Received
YSC1790000320,09/29/2016,Case Was Received
YSC1790000321,09/29/2016,Case Was Received
YSC1790000322,09/29/2016,Case Was Received
YSC1790000323,09/29/2016,Case Was Received
YSC1790000324,09/29/2016,Case Was Received
YSC1790000325,09/29/2016,Case Was Received
YSC1790000326,09/29/2016,Case Was Received
YSC1790000327,09/29/2016,Case Was Received
YSC1790000328,11/01/2016,Notice Was Returned To USCIS Because The Post Office Could Not Deliver It
YSC1790000329,09/29/2016,Case Was Received
YSC1790000330,09/29/2016,Case Was Received
YSC1790000331,09/29/2016,Case Was Received
YSC1790000332,09/29/2016,Case Was Received
YSC1790000333,09/29/2016,Case Was Received
YSC1790000334,09/29/2016,Case Was Received
YSC1790000335,09/29/2016,Case Was Received
